"","Map","est.percentage","lci.percentage","uci.percentage"
"1","Aberdeen City",29.2305285148209,11.7028083725372,49.5085910868277
"2","Aberdeenshire",34.9851140313074,16.7218911734552,56.105944025253
"3","Adur",23.7327417931749,7.0022303006565,43.0791802062331
"4","Allerdale",14.6398147862486,-0.885002777405364,32.5963527468011
"5","Amber Valley",29.1771902559097,11.7348544343285,49.3423566611351
"6","Angus",35.427424447414,17.085022806276,56.6433251057703
"7","Antrim and Newtownabbey",21.0729573273022,4.64050168760239,40.085920456892
"8","Ards and North Down",26.9783844810933,9.81760388894961,46.8208151921878
"9","Argyll and Bute",22.480125850367,5.92765361074632,41.6191213245175
"10","Armagh City, Banbridge and Craigavon",26.8333714537356,9.69844549536207,46.6447773410007
"11","Arun",18.7560568320411,2.6717180890204,37.3601347750616
"12","Ashfield",28.5872238384863,11.222096073303,48.6635724217199
"13","Ashford",20.9025536208313,4.55863125244413,39.8012511922233
"14","Aylesbury Vale",29.2080132356301,11.7476778912414,49.3964885833861
"15","Babergh",29.1595663160069,11.6475801661517,49.4183174065474
"16","Barking and Dagenham",31.8901313314711,14.0694837762837,52.4948318057464
"17","Barnet",29.1897638194058,11.6855101846994,49.4374252140037
"18","Barnsley",23.9153297453163,7.13049233672962,43.3299578016223
"19","Barrow-in-Furness",20.3198809463746,4.0876329688911,39.0835139394177
"20","Basildon",23.2063846018507,6.55544576069864,42.4592905439094
"21","Basingstoke and Deane",21.390601078414,4.96743082582158,40.383335233101
"22","Bassetlaw",22.4708186711373,5.93641218931056,41.5858921026595
"23","Bath and North East Somerset",31.3374539088018,13.5621637838075,51.8950170065903
"24","Bedford",24.7460231682745,7.91185683866773,44.2063064447571
"25","Belfast",23.6324532731606,6.93620706107754,42.9355306534306
"26","Bexley",30.5919209361334,12.9095913349441,51.0434110349247
"27","Birmingham",24.5318441191115,7.70539433545945,43.9870332901328
"28","Blaby",20.0385599263481,3.6653705856605,38.9977751276628
"29","Blackburn with Darwen",25.1759500818564,8.28152037250318,44.7063028390425
"30","Blackpool",12.400097114441,-3.02549550212801,30.2794161903967
"31","Bolsover",20.7214312338187,4.40424033350124,39.5888127971486
"32","Bolton",21.8625805576817,5.39458422936712,40.9037157721386
"33","Boston",13.7975849963955,-1.58636711422475,31.586346030354
"34","Bournemouth, Christchurch and Poole",23.5182013781922,6.82810350720242,42.8158468681887
"35","Bracknell Forest",32.4460966409816,14.5161408427307,53.1833712378002
"36","Braintree",27.2374728825199,10.0540334794603,47.1038724678044
"37","Breckland",19.6075735188543,3.46819554971605,38.2644354341155
"38","Brent",33.0802491414885,15.0295576576052,53.9634948808284
"39","Brentwood",37.2123563897562,18.5859435372932,58.7644385534499
"40","Bridgend",42.3948866318368,23.1455222764068,64.6531953746754
"41","Brighton and Hove",21.4236145301054,4.97366409614313,40.4513626584683
"42","Bristol, City of",29.4154706063803,11.8855867063745,49.6918819063286
"43","Broadland",27.5794370344996,10.3405285502537,47.5116438890978
"44","Bromley",32.8519563846431,14.8704164108461,53.6482835763503
"45","Bromsgrove",26.9830547889585,9.77639627493565,46.8867329471376
"46","Broxbourne",28.8844383311593,11.4505274267146,49.0454897565313
"47","Broxtowe",24.5499912267526,7.72672776792727,44.0004782100385
"48","Burnley",16.6628252632039,0.903280180932331,34.8837696256061
"49","Bury",35.4476701053531,17.1156543916553,56.6491809507898
"50","Caerphilly",33.8325646544951,15.7733661606017,54.7087724576749
"51","Calderdale",20.819191217774,4.50756547245632,39.6767487647986
"52","Cambridge",29.2588959804612,11.6727884343526,49.6144443452264
"53","Camden",34.004438979705,15.7519042392195,55.1351555232659
"54","Cannock Chase",24.9088487357525,8.00256466018336,44.4615740522601
"55","Canterbury",21.9560333856158,5.41539002478588,41.0920556823472
"56","Cardiff",33.8405993079072,15.7680371976951,54.7344712470985
"57","Carlisle",23.4546614005057,6.74075336833957,42.7857021855549
"58","Carmarthenshire",30.3106041832661,12.704565908994,50.6669532476567
"59","Causeway Coast and Glens",26.7738749383617,9.62046500109171,46.6114503959394
"60","Central Bedfordshire",26.2482259911684,9.18687589367153,45.9755527893159
"61","Ceredigion",22.6016214825803,5.73187882386952,42.1629669061035
"62","Charnwood",30.2167310441789,12.6143866973342,50.5704336818397
"63","Chelmsford",25.0321538691636,8.12532569061326,44.5825887812272
"64","Cheltenham",35.8000419173069,17.4483296193011,57.0192734500301
"65","Cherwell",33.9506065295071,15.8662243051435,54.8575963118384
"66","Cheshire East",20.1398642473265,3.85061508293543,38.9841260914953
