"","Map","est.percentage","lci.percentage","uci.percentage"
"1831","Aberdeen City",-11.0916039239051,-27.2268992999561,8.62121878529498
"1832","Aberdeenshire",-0.947495501767914,-18.4579126809159,20.3231235543321
"1833","Adur",9.12170394133451,-9.60379498229197,31.7261744420316
"1834","Allerdale",-26.743438091617,-39.3310355711389,-11.5441657335457
"1835","Amber Valley",16.3391658572022,-3.66510885503893,40.49739768723
"1836","Angus",-19.9461332323033,-34.0760854995691,-2.78760548392133
"1837","Antrim and Newtownabbey",71.6404978839786,41.4728987754476,108.24101837781
"1838","Ards and North Down",12.053930794051,-7.53824636907016,35.7975910398241
"1839","Argyll and Bute",-11.2892823986417,-28.2427398527184,9.66961950882219
"1840","Armagh City, Banbridge and Craigavon",47.2986671391816,21.6168823944994,78.4036633219991
"1841","Arun",-11.7746496996867,-26.9499271476825,6.55310982850101
"1842","Ashfield",14.1718744368445,-5.75609077980479,38.313627058557
"1843","Ashford",0.365394020875032,-16.8634621939421,21.1646838176546
"1844","Aylesbury Vale",17.4239510821335,-2.83108244432664,41.9011823388809
"1845","Babergh",13.9439947247674,-5.76058617279699,37.7686193766425
"1846","Barking and Dagenham",38.471124728552,14.6122321245957,67.2967363792875
"1847","Barnet",33.5557849377622,10.4719359105528,61.4631584331447
"1848","Barnsley",-9.43616737780108,-25.000255808815,9.35781005217951
"1849","Barrow-in-Furness",-23.7040942509545,-36.7744640168921,-7.93173765071036
"1850","Basildon",-7.20839324416541,-23.0906866522942,11.9537011779379
"1851","Basingstoke and Deane",1.35331152644773,-15.9544304267654,22.2252857531776
"1852","Bassetlaw",3.65507852945137,-14.347985441261,25.4421785675384
"1853","Bath and North East Somerset",14.671560200596,-5.90736709557053,39.7512888410192
"1854","Bedford",10.1452707187621,-9.11322338533706,33.4845520283543
"1855","Belfast",13.7017071237132,-5.91525270148333,37.4088635411626
"1856","Bexley",32.6286604113969,9.73558476591354,60.2976974155208
"1857","Birmingham",16.4207441717081,-3.54741699130774,40.5228273904581
"1858","Blaby",35.5722307390389,11.9779965007752,64.137869241409
"1859","Blackburn with Darwen",-23.6171376168225,-36.8204811467529,-7.65454103252353
"1860","Blackpool",27.2504875213595,4.14199046448278,55.4866245805636
"1861","Bolsover",15.1980437980962,-4.66680366320323,39.2021856481687
"1862","Bolton",-5.62698700918484,-21.78245680203,13.8653199375318
"1863","Boston",-10.8784050364425,-26.1512531762009,7.55305987519808
"1864","Bournemouth, Christchurch and Poole",-7.79096800082885,-23.7138209504746,11.4553866527291
"1865","Bracknell Forest",18.2845737516258,-2.76164373525704,43.8860232222662
"1866","Braintree",4.32840414159197,-13.5318168636829,25.8776987781975
"1867","Breckland",7.97288929198274,-10.5766272811186,30.3702205318095
"1868","Brent",30.3194373627203,7.77373785371367,57.5815787106503
"1869","Brentwood",31.6750869524799,9.0528648662507,58.9901241494936
"1870","Bridgend",42.6229365895292,17.2716044417123,73.4546238900579
"1871","Brighton and Hove",33.5544615418367,9.87644913953694,62.3350075235706
"1872","Bristol, City of",13.1939368788336,-6.74051631038152,37.3894304280357
"1873","Broadland",11.8926670004595,-7.35188718626266,35.1346352153577
"1874","Bromley",47.491693897233,22.0449446904678,78.2441691775713
